1155.1512 	EXP 	stimulus: image = u'+.png'
1155.2753 	EXP 	cue: autoDraw = True
1155.4168 	EXP 	cue: autoDraw = False
1156.9334 	EXP 	stimulus: autoDraw = True
1157.0583 	EXP 	stimulus: autoDraw = False
1159.5441 	EXP 	New trial (rep=15, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1159.7469 	EXP 	cue: autoDraw = False
1159.7469 	EXP 	stimulus: autoDraw = False
1159.7469 	EXP 	stimulus: image = u'x.png'
1159.7469 	EXP 	cue: autoDraw = True
1159.8713 	EXP 	cue: autoDraw = False
1161.4002 	EXP 	stimulus: autoDraw = True
1161.5252 	EXP 	stimulus: autoDraw = False
1161.7141 	DATA 	Keypress: tab
1163.9967 	EXP 	New trial (rep=15, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1164.0584 	EXP 	cue: autoDraw = False
1164.0584 	EXP 	stimulus: autoDraw = False
1164.0584 	EXP 	stimulus: image = u'+.png'
1164.1820 	EXP 	cue: autoDraw = True
1164.3073 	EXP 	cue: autoDraw = False
1165.8532 	EXP 	stimulus: autoDraw = True
1165.9787 	EXP 	stimulus: autoDraw = False
1168.4339 	EXP 	New trial (rep=16, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1168.4798 	EXP 	cue: autoDraw = False
1168.4798 	EXP 	stimulus: autoDraw = False
1168.4798 	EXP 	stimulus: image = u'+.png'
1168.6361 	EXP 	cue: autoDraw = True
1168.7611 	EXP 	cue: autoDraw = False
1170.2928 	EXP 	stimulus: autoDraw = True
1170.4024 	EXP 	stimulus: autoDraw = False
1170.6340 	DATA 	Keypress: tab
1172.8889 	EXP 	New trial (rep=16, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1173.0753 	EXP 	cue: autoDraw = False
1173.0753 	EXP 	stimulus: autoDraw = False
1173.0753 	EXP 	stimulus: image = u'x.png'
1173.0753 	EXP 	cue: autoDraw = True
1173.2001 	EXP 	cue: autoDraw = False
1174.7317 	EXP 	stimulus: autoDraw = True
1174.8570 	EXP 	stimulus: autoDraw = False
1175.0446 	DATA 	Keypress: tab
1177.3240 	EXP 	New trial (rep=17, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1177.5105 	EXP 	cue: autoDraw = False
1177.5105 	EXP 	stimulus: autoDraw = False
1177.5105 	EXP 	stimulus: image = u'x.png'
1177.5105 	EXP 	cue: autoDraw = True
1177.6353 	EXP 	cue: autoDraw = False
1179.1667 	EXP 	stimulus: autoDraw = True
1179.2916 	EXP 	stimulus: autoDraw = False
1179.6359 	DATA 	Keypress: tab
1181.7624 	EXP 	New trial (rep=17, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1181.8244 	EXP 	cue: autoDraw = False
1181.8244 	EXP 	stimulus: autoDraw = False
1181.8244 	EXP 	stimulus: image = u'+.png'
1181.9485 	EXP 	cue: autoDraw = True
1182.0735 	EXP 	cue: autoDraw = False
1183.6208 	EXP 	stimulus: autoDraw = True
1183.7457 	EXP 	stimulus: autoDraw = False
1186.2143 	EXP 	New trial (rep=18, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1186.2601 	EXP 	cue: autoDraw = False
1186.2601 	EXP 	stimulus: autoDraw = False
1186.2601 	EXP 	stimulus: image = u'+.png'
1186.4167 	EXP 	cue: autoDraw = True
1186.5414 	EXP 	cue: autoDraw = False
1188.0729 	EXP 	stimulus: autoDraw = True
1188.1982 	EXP 	stimulus: autoDraw = False
1188.3859 	DATA 	Keypress: tab
1190.6487 	EXP 	New trial (rep=18, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1190.9019 	EXP 	cue: autoDraw = False
1190.9019 	EXP 	stimulus: autoDraw = False
1190.9019 	EXP 	stimulus: image = u'x.png'
1190.9019 	EXP 	cue: autoDraw = True
1190.9643 	EXP 	cue: autoDraw = False
1192.4957 	EXP 	stimulus: autoDraw = True
1192.6211 	EXP 	stimulus: autoDraw = False
1192.8710 	DATA 	Keypress: tab
1195.0908 	EXP 	New trial (rep=19, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1195.1530 	EXP 	cue: autoDraw = False
1195.1530 	EXP 	stimulus: autoDraw = False
1195.1530 	EXP 	stimulus: image = u'+.png'
1195.2772 	EXP 	cue: autoDraw = True
1195.4180 	EXP 	cue: autoDraw = False
1196.9312 	EXP 	stimulus: autoDraw = True
1197.0563 	EXP 	stimulus: autoDraw = False
1199.5428 	EXP 	New trial (rep=19, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1199.8224 	EXP 	cue: autoDraw = False
1199.8224 	EXP 	stimulus: autoDraw = False
1199.8224 	EXP 	stimulus: image = u'x.png'
1199.8224 	EXP 	cue: autoDraw = True
1199.8535 	EXP 	cue: autoDraw = False
1201.3863 	EXP 	stimulus: autoDraw = True
1201.5111 	EXP 	stimulus: autoDraw = False
1201.6989 	DATA 	Keypress: tab
1203.9970 	EXP 	New trial (rep=20, index=0): {u'stimFile': u'+.png', u'corrAns': None}
