146.4092 	EXP 	New trial (rep=12, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
146.6913 	EXP 	cue: autoDraw = False
146.6913 	EXP 	stimulus: autoDraw = False
146.6913 	EXP 	stimulus: image = u'x.png'
146.6913 	EXP 	cue: autoDraw = True
146.7078 	EXP 	cue: autoDraw = False
148.2487 	EXP 	stimulus: autoDraw = True
148.3738 	EXP 	stimulus: autoDraw = False
148.5927 	DATA 	Keypress: space
150.8653 	EXP 	New trial (rep=12, index=1): {u'stimFile': u'+.png', u'corrAns': None}
150.9272 	EXP 	cue: autoDraw = False
150.9272 	EXP 	stimulus: autoDraw = False
150.9272 	EXP 	stimulus: image = u'+.png'
151.0511 	EXP 	cue: autoDraw = True
151.1763 	EXP 	cue: autoDraw = False
152.7177 	EXP 	stimulus: autoDraw = True
152.8427 	EXP 	stimulus: autoDraw = False
155.3128 	EXP 	New trial (rep=13, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
155.6088 	EXP 	cue: autoDraw = False
155.6088 	EXP 	stimulus: autoDraw = False
155.6088 	EXP 	stimulus: image = u'x.png'
155.6088 	EXP 	cue: autoDraw = True
155.6397 	EXP 	cue: autoDraw = False
157.1730 	EXP 	stimulus: autoDraw = True
157.2980 	EXP 	stimulus: autoDraw = False
157.6125 	DATA 	Keypress: space
159.7695 	EXP 	New trial (rep=13, index=1): {u'stimFile': u'+.png', u'corrAns': None}
159.8304 	EXP 	cue: autoDraw = False
159.8304 	EXP 	stimulus: autoDraw = False
159.8304 	EXP 	stimulus: image = u'+.png'
159.9545 	EXP 	cue: autoDraw = True
160.0795 	EXP 	cue: autoDraw = False
161.6108 	EXP 	stimulus: autoDraw = True
161.7250 	EXP 	stimulus: autoDraw = False
164.2040 	EXP 	New trial (rep=14, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
164.4843 	EXP 	cue: autoDraw = False
164.4843 	EXP 	stimulus: autoDraw = False
164.4843 	EXP 	stimulus: image = u'x.png'
164.4843 	EXP 	cue: autoDraw = True
164.5154 	EXP 	cue: autoDraw = False
166.0466 	EXP 	stimulus: autoDraw = True
166.1717 	EXP 	stimulus: autoDraw = False
166.3907 	DATA 	Keypress: space
168.6583 	EXP 	New trial (rep=14, index=1): {u'stimFile': u'+.png', u'corrAns': None}
168.7201 	EXP 	cue: autoDraw = False
168.7201 	EXP 	stimulus: autoDraw = False
168.7201 	EXP 	stimulus: image = u'+.png'
168.8441 	EXP 	cue: autoDraw = True
168.9691 	EXP 	cue: autoDraw = False
170.5004 	EXP 	stimulus: autoDraw = True
170.6256 	EXP 	stimulus: autoDraw = False
173.0961 	EXP 	New trial (rep=15, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
173.3918 	EXP 	cue: autoDraw = False
173.3918 	EXP 	stimulus: autoDraw = False
173.3918 	EXP 	stimulus: image = u'x.png'
173.3918 	EXP 	cue: autoDraw = True
173.4229 	EXP 	cue: autoDraw = False
174.9371 	EXP 	stimulus: autoDraw = True
175.0619 	EXP 	stimulus: autoDraw = False
175.2969 	DATA 	Keypress: space
177.5471 	EXP 	New trial (rep=15, index=1): {u'stimFile': u'+.png', u'corrAns': None}
177.6095 	EXP 	cue: autoDraw = False
177.6095 	EXP 	stimulus: autoDraw = False
177.6095 	EXP 	stimulus: image = u'+.png'
177.7499 	EXP 	cue: autoDraw = True
177.8749 	EXP 	cue: autoDraw = False
179.4068 	EXP 	stimulus: autoDraw = True
179.5318 	EXP 	stimulus: autoDraw = False
181.9812 	EXP 	New trial (rep=16, index=0): {u'stimFile': u'+.png', u'corrAns': None}
182.0133 	EXP 	cue: autoDraw = False
182.0133 	EXP 	stimulus: autoDraw = False
182.0133 	EXP 	stimulus: image = u'+.png'
182.1865 	EXP 	cue: autoDraw = True
182.3121 	EXP 	cue: autoDraw = False
183.8426 	EXP 	stimulus: autoDraw = True
183.9678 	EXP 	stimulus: autoDraw = False
186.4382 	EXP 	New trial (rep=16, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
186.7351 	EXP 	cue: autoDraw = False
186.7351 	EXP 	stimulus: autoDraw = False
186.7351 	EXP 	stimulus: image = u'x.png'
186.7351 	EXP 	cue: autoDraw = True
186.7506 	EXP 	cue: autoDraw = False
188.2808 	EXP 	stimulus: autoDraw = True
188.4066 	EXP 	stimulus: autoDraw = False
188.5937 	DATA 	Keypress: space
190.8766 	EXP 	New trial (rep=17, index=0): {u'stimFile': u'+.png', u'corrAns': None}
190.9388 	EXP 	cue: autoDraw = False
