1231.0870 	EXP 	cue: autoDraw = False
1231.0870 	EXP 	stimulus: autoDraw = False
1231.0870 	EXP 	stimulus: image = u'x.png'
1231.0870 	EXP 	cue: autoDraw = True
1231.1730 	EXP 	cue: autoDraw = False
1232.6890 	EXP 	stimulus: autoDraw = True
1232.8222 	EXP 	stimulus: autoDraw = False
1233.0727 	DATA 	Keypress: tab
1235.3055 	EXP 	New trial (rep=13, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1235.3865 	EXP 	cue: autoDraw = False
1235.3865 	EXP 	stimulus: autoDraw = False
1235.3865 	EXP 	stimulus: image = u'x.png'
1235.3865 	EXP 	cue: autoDraw = True
1235.4712 	EXP 	cue: autoDraw = False
1236.9871 	EXP 	stimulus: autoDraw = True
1237.1204 	EXP 	stimulus: autoDraw = False
1237.3709 	DATA 	Keypress: tab
1239.6037 	EXP 	New trial (rep=13, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1239.6193 	EXP 	cue: autoDraw = False
1239.6193 	EXP 	stimulus: autoDraw = False
1239.6193 	EXP 	stimulus: image = u'+.png'
1239.6193 	EXP 	cue: autoDraw = True
1239.7693 	EXP 	cue: autoDraw = False
1241.2853 	EXP 	stimulus: autoDraw = True
1241.4185 	EXP 	stimulus: autoDraw = False
1243.9017 	EXP 	New trial (rep=14, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1243.9175 	EXP 	cue: autoDraw = False
1243.9175 	EXP 	stimulus: autoDraw = False
1243.9175 	EXP 	stimulus: image = u'+.png'
1243.9175 	EXP 	cue: autoDraw = True
1244.0674 	EXP 	cue: autoDraw = False
1245.5834 	EXP 	stimulus: autoDraw = True
1245.7167 	EXP 	stimulus: autoDraw = False
1248.1998 	EXP 	New trial (rep=14, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1248.2818 	EXP 	cue: autoDraw = False
1248.2818 	EXP 	stimulus: autoDraw = False
1248.2818 	EXP 	stimulus: image = u'x.png'
1248.2818 	EXP 	cue: autoDraw = True
1248.3656 	EXP 	cue: autoDraw = False
1249.8816 	EXP 	stimulus: autoDraw = True
1250.0149 	EXP 	stimulus: autoDraw = False
1250.2150 	DATA 	Keypress: tab
1252.4981 	EXP 	New trial (rep=15, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1252.5791 	EXP 	cue: autoDraw = False
1252.5791 	EXP 	stimulus: autoDraw = False
1252.5791 	EXP 	stimulus: image = u'x.png'
1252.5791 	EXP 	cue: autoDraw = True
1252.6637 	EXP 	cue: autoDraw = False
1254.1798 	EXP 	stimulus: autoDraw = True
1254.3131 	EXP 	stimulus: autoDraw = False
1254.6131 	DATA 	Keypress: tab
1256.7963 	EXP 	New trial (rep=15, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1256.8120 	EXP 	cue: autoDraw = False
1256.8120 	EXP 	stimulus: autoDraw = False
1256.8120 	EXP 	stimulus: image = u'+.png'
1256.8120 	EXP 	cue: autoDraw = True
1256.9619 	EXP 	cue: autoDraw = False
1258.4780 	EXP 	stimulus: autoDraw = True
1258.6112 	EXP 	stimulus: autoDraw = False
1261.0943 	EXP 	New trial (rep=16, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1261.1102 	EXP 	cue: autoDraw = False
1261.1102 	EXP 	stimulus: autoDraw = False
1261.1102 	EXP 	stimulus: image = u'+.png'
1261.1102 	EXP 	cue: autoDraw = True
1261.2601 	EXP 	cue: autoDraw = False
1262.7761 	EXP 	stimulus: autoDraw = True
1262.9094 	EXP 	stimulus: autoDraw = False
1265.3925 	EXP 	New trial (rep=16, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1265.4772 	EXP 	cue: autoDraw = False
1265.4772 	EXP 	stimulus: autoDraw = False
1265.4772 	EXP 	stimulus: image = u'x.png'
1265.4772 	EXP 	cue: autoDraw = True
1265.5583 	EXP 	cue: autoDraw = False
1267.0742 	EXP 	stimulus: autoDraw = True
1267.2242 	EXP 	stimulus: autoDraw = False
1267.3910 	DATA 	Keypress: tab
1267.6076 	DATA 	Keypress: tab
1269.6908 	EXP 	New trial (rep=17, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1269.7677 	EXP 	cue: autoDraw = False
1269.7677 	EXP 	stimulus: autoDraw = False
1269.7677 	EXP 	stimulus: image = u'x.png'
1269.7677 	EXP 	cue: autoDraw = True
1269.8564 	EXP 	cue: autoDraw = False
1271.3724 	EXP 	stimulus: autoDraw = True
1271.5057 	EXP 	stimulus: autoDraw = False
1271.8891 	DATA 	Keypress: tab
1273.9890 	EXP 	New trial (rep=17, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1274.0047 	EXP 	cue: autoDraw = False
1274.0047 	EXP 	stimulus: autoDraw = False
1274.0047 	EXP 	stimulus: image = u'+.png'
1274.0047 	EXP 	cue: autoDraw = True
1274.1712 	EXP 	cue: autoDraw = False
1275.6706 	EXP 	stimulus: autoDraw = True
1275.8038 	EXP 	stimulus: autoDraw = False
1278.2870 	EXP 	New trial (rep=18, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1278.3028 	EXP 	cue: autoDraw = False
1278.3028 	EXP 	stimulus: autoDraw = False
1278.3028 	EXP 	stimulus: image = u'+.png'
1278.3028 	EXP 	cue: autoDraw = True
1278.4527 	EXP 	cue: autoDraw = False
1279.9688 	EXP 	stimulus: autoDraw = True
1280.1020 	EXP 	stimulus: autoDraw = False
1282.5851 	EXP 	New trial (rep=18, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1282.6712 	EXP 	cue: autoDraw = False
1282.6712 	EXP 	stimulus: autoDraw = False
1282.6712 	EXP 	stimulus: image = u'x.png'
1282.6712 	EXP 	cue: autoDraw = True
1282.7510 	EXP 	cue: autoDraw = False
1284.2836 	EXP 	stimulus: autoDraw = True
1284.4002 	EXP 	stimulus: autoDraw = False
1284.6835 	DATA 	Keypress: tab
1286.8835 	EXP 	New trial (rep=19, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1286.9578 	EXP 	cue: autoDraw = False
1286.9578 	EXP 	stimulus: autoDraw = False
1286.9578 	EXP 	stimulus: image = u'x.png'
1286.9578 	EXP 	cue: autoDraw = True
1287.0491 	EXP 	cue: autoDraw = False
1288.5652 	EXP 	stimulus: autoDraw = True
